pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
TFFTF,Xgboost,5,0.6410185185185184,0.651956741191365,0.6410185185185184,0.6409025082507088,"[[26.6 13.8]
 [15.2 25.2]]"
TFFTT,Xgboost,5,0.6286728395061729,0.6408040653364034,0.6286728395061729,0.6283621496988643,"[[24.4 16. ]
 [14.  26.4]]"
TFTFF,Xgboost,5,0.6561111111111111,0.6616508388730611,0.6561111111111111,0.6567637546321536,"[[26.2 14.2]
 [13.6 26.8]]"
TFTFT,Xgboost,5,0.6335493827160493,0.6374939174980492,0.6335493827160493,0.6338705701901468,"[[25.8 14.6]
 [15.  25.4]]"
TFTTF,Xgboost,5,0.658148148148148,0.6705498225528699,0.658148148148148,0.6574560244114168,"[[27.2 13.2]
 [14.4 26. ]]"
TFTTT,Xgboost,5,0.616141975308642,0.6277245276309861,0.616141975308642,0.6149846766034438,"[[24.8 15.6]
 [15.4 25. ]]"
TTFFF,Xgboost,5,0.6386111111111111,0.64791432028878,0.6386111111111111,0.6382888847694794,"[[25.6 14.8]
 [14.4 26. ]]"
TTFFT,Xgboost,5,0.5991049382716049,0.6085858709099478,0.5991049382716049,0.5990036022789376,"[[25.2 15.2]
 [17.2 23.2]]"
TTFTF,Xgboost,5,0.6114197530864198,0.619431529769901,0.6114197530864198,0.6117377796242365,"[[24.6 15.8]
 [15.6 24.8]]"
TTFTT,Xgboost,5,0.6039197530864198,0.6161530955401728,0.6039197530864198,0.6029176493584212,"[[25.2 15.2]
 [16.8 23.6]]"
TTTFF,Xgboost,5,0.6212962962962962,0.6327518020708421,0.6212962962962962,0.6209157885194603,"[[26.4 14. ]
 [16.6 23.8]]"
TTTFT,Xgboost,5,0.648395061728395,0.6612981894567617,0.648395061728395,0.6481097689265433,"[[25.6 14.8]
 [13.6 26.8]]"
TTTTF,Xgboost,5,0.6041049382716049,0.6081984613256479,0.6041049382716049,0.6040145448723737,"[[24.  16.4]
 [15.6 24.8]]"
TTTTT,Xgboost,5,0.5940123456790124,0.602149581518517,0.5940123456790124,0.59400332650303,"[[23.2 17.2]
 [15.6 24.8]]"
