pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
TTFTF,CART,5,0.6475528443750886,0.6516977261197562,0.6475528443750886,0.6477704646662462,"[[87.8 45. ]
 [48.6 84.2]]"
TTFTT,CART,5,0.6664094197758547,0.6690148254660405,0.6664094197758547,0.6666413859896971,"[[88.6 44.2]
 [44.4 88.4]]"
TTTFF,CART,5,0.6438445169527591,0.6483375629030894,0.6438445169527591,0.6435413508552351,"[[89.  43.8]
 [50.8 82. ]]"
TTTFT,CART,5,0.6551142005958293,0.6584440197471733,0.6551142005958293,0.6552098117264493,"[[86.  46.8]
 [44.8 88. ]]"
TTTTF,CART,5,0.6257681940700809,0.6287079227219122,0.6257681940700809,0.6260310463366251,"[[84.4 48.4]
 [51.  81.8]]"
TTTTT,CART,5,0.6589189956022131,0.6627340351002078,0.6589189956022131,0.6588550203144943,"[[92.2 40.6]
 [50.  82.8]]"
FFFFF,SVM,5,0.7387151310228234,0.7413887655178321,0.7387151310228234,0.7387928157537924,"[[61.8 22.4]
 [21.6 62.6]]"
FFFFT,SVM,5,0.7458579881656805,0.7482364060929102,0.7458579881656805,0.7460795431009305,"[[62.  22.2]
 [20.6 63.6]]"
FFFTF,SVM,5,0.7316074950690336,0.7376477822377325,0.7316074950690336,0.7313420964063082,"[[64.2 20. ]
 [25.2 59. ]]"
FFFTT,SVM,5,0.7601225697379543,0.7637315674063065,0.7601225697379543,0.7602234429540324,"[[65.4 18.8]
 [21.6 62.6]]"
FFTFF,SVM,5,0.7540997464074388,0.7563745935866433,0.7540997464074388,0.7540490780005389,"[[64.8 19.4]
 [22.  62.2]]"
FFTFT,SVM,5,0.763665821358129,0.7658235937094312,0.763665821358129,0.7637533907235715,"[[64.2 20. ]
 [19.8 64.4]]"
FFTTF,SVM,5,0.7327909270216961,0.7375731695569236,0.7327909270216961,0.7327252485900289,"[[61.4 22.8]
 [22.2 62. ]]"
FFTTT,SVM,5,0.7505776275007043,0.7580908675539382,0.7505776275007043,0.7498864639945864,"[[67.4 16.8]
 [25.2 59. ]]"
FTFFF,SVM,5,0.7494575936883628,0.7557032764962524,0.7494575936883628,0.7494415377367675,"[[62.8 21.4]
 [20.8 63.4]]"
FTFFT,SVM,5,0.7482318963088195,0.7519061875527238,0.7482318963088195,0.7482805602969023,"[[65.  19.2]
 [23.2 61. ]]"
FTFTF,SVM,5,0.7411594815440969,0.7481310558621816,0.7411594815440969,0.7408809543023791,"[[64.4 19.8]
 [23.8 60.4]]"
FTFTT,SVM,5,0.7529797125950972,0.7590691232534814,0.7529797125950972,0.7527236101040344,"[[66.  18.2]
 [23.4 60.8]]"
FTTFF,SVM,5,0.7494082840236687,0.7544387707392382,0.7494082840236687,0.7494544709198162,"[[62.2 22. ]
 [20.2 64. ]]"
FTTFT,SVM,5,0.7398774302620457,0.7426540806647606,0.7398774302620457,0.7400786148177889,"[[61.6 22.6]
 [21.2 63. ]]"
FTTTF,SVM,5,0.763757396449704,0.7691329533452556,0.763757396449704,0.7638033597533302,"[[64.8 19.4]
 [20.4 63.8]]"
FTTTT,SVM,5,0.7541561003099464,0.7585631300071103,0.7541561003099464,0.7542081210769837,"[[63.6 20.6]
 [20.8 63.4]]"
TFFFF,SVM,5,0.763540927791176,0.7682268124177905,0.763540927791176,0.7636437192313401,"[[ 99.4  33.4]
 [ 29.4 103.4]]"
TFFFT,SVM,5,0.7786097318768619,0.782963706427823,0.7786097318768619,0.7786970955916941,"[[101.8  31. ]
 [ 27.8 105. ]]"
TFFTF,SVM,5,0.7575315647609591,0.7620708511324746,0.7575315647609591,0.757683517877624,"[[ 98.2  34.6]
 [ 29.8 103. ]]"
