pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
TFTTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6090105030403538,"[[45.66666667 21.66666667]
 [31.         36.33333333]]",0.6090105030403538,0.612347851884422,0.6070875316794967
TTFFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5447024138566428,"[[33.66666667 33.66666667]
 [27.66666667 39.66666667]]",0.5447024138566428,0.5523075643705084,0.5401845949424883
TTFFT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5768196056753271,"[[37.66666667 29.66666667]
 [27.33333333 40.        ]]",0.5768196056753271,0.5775723385709599,0.5739416657962573
TTFTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6212640501197716,"[[47.33333333 20.        ]
 [31.         36.33333333]]",0.6212640501197716,0.6264948643524898,0.618733920021984
TTFTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.633572876358946,"[[45.66666667 21.66666667]
 [27.66666667 39.66666667]]",0.633572876358946,0.6357717794271351,0.6324108355951961
TTTFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5470609913395983,"[[25.66666667 41.66666667]
 [19.33333333 48.        ]]",0.5470609913395983,0.5764074285230582,0.524326760396412
TTTFT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5743688962594434,"[[39.33333333 28.        ]
 [29.33333333 38.        ]]",0.5743688962594434,0.5781732701400691,0.573487292954261
TTTTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5841348811498065,"[[45.         22.33333333]
 [33.66666667 33.66666667]]",0.5841348811498065,0.5884360251029351,0.5811759917768645
TTTTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5990418278975492,"[[44.66666667 22.66666667]
 [31.33333333 36.        ]]",0.5990418278975492,0.6028118475722289,0.5963215684908215
FFFFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5674774960489247,"[[28.66666667 20.66666667]
 [22.         27.33333333]]",0.5674774960489247,0.5716587188781421,0.5667772918728704
FFFFT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5674431388717104,"[[28.66666667 20.66666667]
 [22.         27.33333333]]",0.5674431388717104,0.5692559683483808,0.5671886741011165
FFFTF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5879887308458738,"[[32.33333333 17.        ]
 [23.66666667 25.66666667]]",0.5879887308458738,0.5910183122677525,0.5865588759257118
FFFTT,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5980210265924552,"[[32.33333333 17.        ]
 [22.66666667 26.66666667]]",0.5980210265924552,0.6018668938805909,0.5964959607087763
FFTFF,Vrai_Faux_Other_Mixture,CART,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5607778464921321,"[[26.66666667 22.66666667]
 [20.66666667 28.66666667]]",0.5607778464921321,0.5639554931831974,0.5595340734556841
